[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
[ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
];
ShortageCost = [
[ 250 244.828 239.655 234.483 229.31 224.138 218.966 213.793 208.621 203.448 198.276 193.103 187.931 182.759 177.586 172.414 167.241 162.069 156.897 151.724 ]
[ 250 244.828 239.655 234.483 229.31 224.138 218.966 213.793 208.621 203.448 198.276 193.103 187.931 182.759 177.586 172.414 167.241 162.069 156.897 151.724 ]
[ 250 244.828 239.655 234.483 229.31 224.138 218.966 213.793 208.621 203.448 198.276 193.103 187.931 182.759 177.586 172.414 167.241 162.069 156.897 151.724 ]
[ 250 244.828 239.655 234.483 229.31 224.138 218.966 213.793 208.621 203.448 198.276 193.103 187.931 182.759 177.586 172.414 167.241 162.069 156.897 151.724 ]
[ 250 244.828 239.655 234.483 229.31 224.138 218.966 213.793 208.621 203.448 198.276 193.103 187.931 182.759 177.586 172.414 167.241 162.069 156.897 151.724 ]
[ 250 244.828 239.655 234.483 229.31 224.138 218.966 213.793 208.621 203.448 198.276 193.103 187.931 182.759 177.586 172.414 167.241 162.069 156.897 151.724 ]
[ 250 244.828 239.655 234.483 229.31 224.138 218.966 213.793 208.621 203.448 198.276 193.103 187.931 182.759 177.586 172.414 167.241 162.069 156.897 151.724 ]
[ 250 244.828 239.655 234.483 229.31 224.138 218.966 213.793 208.621 203.448 198.276 193.103 187.931 182.759 177.586 172.414 167.241 162.069 156.897 151.724 ]
[ 250 244.828 239.655 234.483 229.31 224.138 218.966 213.793 208.621 203.448 198.276 193.103 187.931 182.759 177.586 172.414 167.241 162.069 156.897 151.724 ]
[ 250 244.828 239.655 234.483 229.31 224.138 218.966 213.793 208.621 203.448 198.276 193.103 187.931 182.759 177.586 172.414 167.241 162.069 156.897 151.724 ]
];
HoldCost = [
[ 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 ]
[ 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 ]
[ 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 ]
[ 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 ]
[ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
[ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
[ 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 ]
[ 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 ]
[ 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 ]
[ 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.12 0.11 0.10 ]
];
